iter	RMSE
0	0.6891510576
1	0.6886304891
2	0.687693823
3	0.6869961776
4	0.6866971462
5	0.6862081669
6	0.6856839427
7	0.685151143
8	0.6847713046
9	0.684467205
10	0.6842377185
11	0.6838503051
12	0.6835631746
13	0.6833089963
14	0.682981233
15	0.6824733128
16	0.6819200766
17	0.6815218403
18	0.6808627732
19	0.6805645067
20	0.6799919189
21	0.6795836933
22	0.6790559704
23	0.6787574339
24	0.6782997304
25	0.6777998642
26	0.677361866
27	0.6772054855
28	0.6768295779
29	0.6766117064
30	0.6762250798
31	0.6756775796
32	0.6752960629
33	0.6750231334
34	0.674724887
35	0.6743542365
36	0.67395304
37	0.6737547378
38	0.6732863448
39	0.6727282517
40	0.6724466915
41	0.6721966186
42	0.6717473079
43	0.6716407882
44	0.6711769604
45	0.670993343
46	0.6707070633
47	0.6705576512
48	0.6702898697
49	0.669578512
50	0.6691254558
51	0.6688524326
52	0.6685131837
53	0.6683371422
54	0.6680626282
55	0.6673411207
56	0.6670502715
57	0.6663591398
58	0.6660800498
59	0.6657467593
60	0.6652931526
61	0.6645455829
62	0.6644293182
63	0.6641661349
64	0.6640000215
65	0.6636835612
66	0.663432492
67	0.6631145502
68	0.6626010294
69	0.662267261
70	0.6619160226
71	0.6616808189
72	0.661327084
73	0.6609804816
74	0.6608149369
75	0.6605431934
76	0.6603025142
77	0.6600943874
78	0.6597754592
79	0.6594801746
80	0.6591799678
81	0.6588564808
82	0.6586779421
83	0.6582933811
84	0.6578367951
85	0.6576278785
86	0.6574424882
87	0.6572109515
88	0.6569181654
89	0.6567369666
90	0.656567899
91	0.656361546
92	0.6560868644
93	0.6558342997
94	0.6556643484
95	0.6554039207
96	0.6551262028
97	0.654756299
98	0.6545907591
99	0.654073075
100	0.6537882723
101	0.6535125408
102	0.6531440772
103	0.6528901633
104	0.6527623481
105	0.6525963804
106	0.6523955826
107	0.6520292188
108	0.6519046224
109	0.651470235
110	0.6513510994
111	0.6511497814
112	0.650927445
113	0.6507661594
114	0.6504841635
115	0.6500432118
116	0.6497953494
117	0.6495965566
118	0.6492066373
119	0.6491360281
120	0.6488868449
121	0.6487150865
122	0.6485607102
123	0.6484138346
124	0.6482028152
125	0.647998206
126	0.6476172927
127	0.6472468484
128	0.6469979638
129	0.6468340497
130	0.6465872358
131	0.6461839193
132	0.6458799765
133	0.645550771
134	0.6454063391
135	0.6451755408
136	0.6447425062
137	0.6445520325
138	0.644339362
139	0.6441933175
140	0.6440299223
141	0.6437439193
142	0.64353673
143	0.6432715369
144	0.6427842394
145	0.6424256099
146	0.6422225726
147	0.6420348807
148	0.6419108782
149	0.6417465753
150	0.6416187732
151	0.6413375964
152	0.64077367
153	0.6405715104
154	0.6403344831
155	0.6401467108
156	0.6400249064
157	0.639878806
158	0.6396484192
159	0.6393455418
160	0.6391415856
161	0.6389456087
162	0.6388501665
163	0.6385973543
164	0.6383996856
165	0.6382268935
166	0.6380310243
167	0.6376325008
168	0.6375511434
169	0.6373828064
170	0.6371107051
171	0.6368633539
172	0.6366949452
173	0.6364354431
174	0.6361873434
175	0.6360373217
176	0.6357110688
177	0.6354229121
178	0.6352112984
179	0.6349354626
180	0.6348706172
181	0.6344589426
182	0.6341795856
183	0.6340068612
184	0.6338827598
185	0.6336560447
186	0.6333356643
187	0.6331383907
188	0.6329750776
189	0.6328436683
190	0.632650722
191	0.6323679335
192	0.6321848176
193	0.6319402986
194	0.6318570971
195	0.6315514447
196	0.631304381
197	0.6311047013
198	0.6309185925
199	0.6307491397
200	0.6304958936
201	0.630217344
202	0.6299351311
203	0.6297833914
204	0.6295576754
205	0.6292840506
206	0.6291285491
207	0.6289108366
208	0.6287049387
209	0.6282723807
210	0.6280126057
211	0.6277120995
212	0.6275590034
213	0.6273321802
214	0.6271657571
215	0.6268461112
216	0.6266406131
217	0.6265140846
218	0.6263288627
219	0.6261577351
220	0.6259662244
221	0.625794379
222	0.6253539421
223	0.6251130898
224	0.6249297889
225	0.6246571594
226	0.6244162607
227	0.6242156097
228	0.6240657027
229	0.6238315561
230	0.623634078
231	0.6234411998
232	0.6232163936
233	0.6230120894
234	0.6228097295
235	0.6224883456
236	0.6221733556
237	0.621978866
238	0.6217771531
239	0.6215183126
240	0.6213391138
241	0.6210990945
242	0.6208992698
243	0.6206362106
244	0.6203957404
245	0.6202489213
246	0.6200015066
247	0.6197200004
248	0.6195625068
249	0.619309463
250	0.6191130273
251	0.6189342712
252	0.6187223618
253	0.6185257786
254	0.6183175048
255	0.6180948974
256	0.6179064978
257	0.6176742525
258	0.6174882739
259	0.6172576458
260	0.6170552227
261	0.6168641341
262	0.61667165
263	0.6164463462
264	0.6161235843
265	0.6159038811
266	0.6156962951
267	0.6154764999
268	0.6152462098
269	0.6150063315
270	0.6145334917
271	0.6143205204
272	0.6141024324
273	0.6138884031
274	0.6135991158
275	0.6134032743
276	0.6131915682
277	0.6129713825
278	0.6124148151
279	0.6122087433
280	0.6119997871
281	0.6117890952
282	0.6115886152
283	0.6113381293
284	0.6110588136
285	0.6104406886
286	0.6098889293
287	0.609674358
288	0.6094733427
289	0.6092716342
290	0.6090691629
291	0.6088598115
292	0.6086470049
293	0.6084650094
294	0.6080851291
295	0.6078814491
296	0.6076890222
297	0.6075049207
298	0.6071273462
299	0.6069361685
300	0.6067592121
301	0.6065792485
302	0.6061946236
303	0.6060090125
304	0.6058182164
305	0.6056168709
306	0.6054439873
307	0.6052599797
308	0.6050251862
309	0.6045037942
310	0.6043269509
311	0.6038047146
312	0.6036242219
313	0.6031657284
314	0.6029027344
315	0.6027249228
316	0.6022237428
317	0.6020475548
318	0.6017772371
319	0.6016055905
320	0.6014208815
321	0.6011527434
322	0.6009300468
323	0.6007568921
324	0.6005790448
325	0.6003444984
326	0.6000831395
327	0.5998407185
328	0.5995576848
329	0.5990731627
330	0.5986045346
331	0.5984328427
332	0.5978760528
333	0.5976974443
334	0.5975313138
335	0.5972135504
336	0.5970382387
337	0.5968679628
338	0.5966750413
339	0.5964893232
340	0.5960998346
341	0.5958119475
342	0.5953777831
343	0.5952094496
344	0.5950371247
345	0.5948376863
346	0.5945621349
347	0.5943875631
348	0.5941650166
349	0.5939400796
350	0.5937784239
351	0.5936091428
352	0.5934494256
353	0.593122452
354	0.5926009031
355	0.5924365524
356	0.5919077665
357	0.5917317326
358	0.5915744692
359	0.5914460825
360	0.5912700472
361	0.590729353
362	0.5905793329
363	0.5903065153
364	0.5900930685
365	0.5899519962
366	0.5898023227
367	0.5896669514
368	0.5894563032
369	0.5892970396
370	0.5891383979
371	0.5889954135
372	0.5888694809
373	0.5887165378
374	0.5881868785
375	0.588039256
376	0.5878883013
377	0.5874063368
378	0.587167685
379	0.5866867322
380	0.586547551
381	0.5863297973
382	0.586185928
383	0.5860327775
384	0.585781045
385	0.5856369424
386	0.5851726255
387	0.5847176209
388	0.5843429926
389	0.5838875001
390	0.5834497017
391	0.5832737764
392	0.583127076
393	0.5829842409
394	0.582771937
395	0.5826412462
396	0.5824796441
397	0.5823391275
398	0.5822267749
399	0.5820719519
400	0.5818684379
401	0.5817163599
402	0.5815706207
403	0.5814258131
404	0.5809644461
405	0.5808154736
406	0.5804946576
407	0.5803427602
408	0.5801965726
409	0.5800484647
410	0.5799233788
411	0.5797901096
412	0.5796548032
413	0.5792219314
414	0.5790884632
415	0.5788433199
416	0.5784282031
417	0.5782847366
418	0.5781561025
419	0.5780117183
420	0.5776034143
421	0.5774634404
422	0.5772740784
423	0.5771528056
424	0.5770027123
425	0.576595174
426	0.5764762814
427	0.5762640078
428	0.5761317738
429	0.5757319966
430	0.57551671
431	0.5753712437
432	0.5749918584
433	0.5748408693
434	0.5745055452
435	0.5743808425
436	0.5742509162
437	0.5741041674
438	0.5739603539
439	0.5735566971
440	0.5734204672
441	0.5730448339
442	0.5727591482
443	0.5723538339
444	0.5722240372
445	0.5720808041
446	0.5718976165
447	0.5717339704
448	0.571592568
449	0.5714334784
450	0.5710606073
451	0.5709291149
452	0.5706747435
453	0.5705390868
454	0.57040683
455	0.5702921944
456	0.5699389309
457	0.5697687916
458	0.5696417648
459	0.5695280935
460	0.5693991144
461	0.5692080456
462	0.5689921082
463	0.5688551926
464	0.56871366
465	0.5686007923
466	0.5684580529
467	0.5682404684
468	0.5681130371
469	0.568002818
470	0.5677887273
471	0.5675860149
472	0.5673949403
473	0.5672889864
474	0.5669709333
475	0.5668466524
476	0.5667353079
477	0.5666115435
478	0.5664892725
479	0.5663649057
480	0.5662368719
481	0.5661132734
482	0.5659083281
483	0.565783437
484	0.5654192174
485	0.5653037975
486	0.5649475439
487	0.564827917
488	0.5647120001
489	0.5645340699
490	0.5641863248
491	0.5640721753
492	0.5639638645
493	0.5636334306
494	0.5635047112
