iter	Passed	Remaining
0	6	6389
1	9	4736
2	12	4179
3	15	3814
4	19	3801
5	21	3625
6	24	3491
7	27	3388
8	30	3317
9	32	3253
10	35	3233
11	38	3186
12	41	3151
13	44	3114
14	46	3085
15	49	3064
16	53	3072
17	55	3052
18	58	3032
19	61	3012
20	64	2995
21	67	2991
22	70	2975
23	72	2959
24	75	2944
25	78	2930
26	80	2918
27	83	2914
28	86	2902
29	89	2890
30	92	2885
31	95	2876
32	98	2872
33	101	2884
34	104	2885
35	107	2877
36	110	2866
37	112	2857
38	116	2863
39	118	2854
40	121	2844
41	124	2839
42	127	2828
43	129	2820
44	132	2821
45	135	2811
46	138	2807
47	141	2798
48	143	2790
49	146	2788
50	150	2795
51	152	2789
52	155	2781
53	158	2773
54	160	2765
55	164	2766
56	167	2764
57	169	2758
58	172	2751
59	175	2746
60	177	2738
61	181	2740
62	183	2735
63	186	2728
64	189	2728
65	192	2721
66	194	2715
67	199	2727
68	201	2721
69	204	2715
70	207	2709
71	209	2703
72	213	2708
73	215	2702
74	218	2697
75	221	2693
76	224	2695
77	227	2691
78	230	2689
79	233	2683
80	236	2679
81	238	2673
82	241	2668
83	244	2663
84	248	2670
85	251	2668
86	253	2662
87	256	2658
88	259	2653
89	262	2654
90	265	2648
91	267	2642
92	270	2637
93	272	2627
94	276	2638
95	287	2707
96	290	2705
97	293	2704
98	296	2699
99	299	2693
100	301	2687
101	304	2684
102	308	2683
103	310	2678
104	313	2673
105	316	2667
106	318	2661
107	323	2668
108	325	2664
109	328	2659
110	331	2656
111	334	2651
112	337	2645
113	339	2634
114	342	2635
115	345	2630
116	347	2625
117	350	2621
118	353	2616
119	356	2614
120	359	2609
121	362	2605
122	364	2600
123	367	2595
124	370	2590
125	373	2587
126	375	2583
127	378	2578
128	381	2574
129	384	2569
130	386	2565
131	390	2568
132	393	2563
133	395	2558
134	398	2553
135	401	2548
136	404	2546
137	406	2542
138	409	2537
139	412	2532
140	414	2528
141	417	2523
142	420	2522
143	423	2518
144	426	2513
145	429	2510
146	431	2506
147	434	2501
148	437	2501
149	440	2497
150	443	2493
151	446	2489
152	448	2484
153	452	2484
154	455	2482
155	458	2479
156	461	2475
157	463	2472
158	466	2467
159	469	2465
160	472	2462
161	475	2459
162	478	2455
163	480	2451
164	483	2448
165	487	2450
166	490	2446
167	493	2443
168	494	2432
169	497	2429
170	500	2427
171	503	2424
172	506	2420
173	509	2417
174	511	2413
175	515	2412
176	518	2410
177	521	2407
178	524	2403
179	526	2400
180	528	2393
181	531	2391
182	534	2387
183	537	2384
184	540	2381
185	543	2377
186	546	2375
187	549	2372
188	551	2368
189	554	2365
190	557	2362
191	560	2358
192	563	2356
193	566	2353
194	569	2350
195	572	2346
196	574	2343
197	578	2342
198	581	2339
199	583	2335
200	586	2332
